Time,Total Jogos,Gols Feitos,Gols Sofridos,Média Gols Feitos,Média Gols Sofridos
Flamengo,38,61,42,1.605263157894737,1.105263157894737
Palmeiras,38,60,33,1.5789473684210527,0.868421052631579
Botafogo-RJ,38,59,29,1.5526315789473684,0.7631578947368421
Fortaleza,38,53,39,1.394736842105263,1.0263157894736843
Internacional,38,53,36,1.394736842105263,0.9473684210526315
Sao Paulo,38,53,43,1.394736842105263,1.131578947368421
Corinthians,38,54,45,1.4210526315789473,1.1842105263157894
Bahia,38,49,49,1.2894736842105263,1.2894736842105263
Cruzeiro,38,43,41,1.131578947368421,1.0789473684210527
Vasco,38,43,56,1.131578947368421,1.4736842105263157
Vitoria,38,45,52,1.1842105263157894,1.368421052631579
Atletico-MG,38,47,54,1.236842105263158,1.4210526315789473
Fluminense,38,33,39,0.868421052631579,1.0263157894736843
Gremio,38,44,50,1.1578947368421053,1.3157894736842106
Juventude,38,48,59,1.263157894736842,1.5526315789473684
Bragantino,38,44,48,1.1578947368421053,1.263157894736842
Athletico-PR,38,40,46,1.0526315789473684,1.2105263157894737
Criciuma,38,42,61,1.105263157894737,1.605263157894737
Atletico-GO,38,29,58,0.7631578947368421,1.5263157894736843
Cuiaba,38,29,49,0.7631578947368421,1.2894736842105263
